nickname,lineage
XUN,"['20101114_224224_r2_19_XUN', '20101126_115515_r2_8_JCQ', '20101203_115111_r2_14_ZVC', '20101205_123328_r2_6_PIX', '20101205_223015_r2_6_KFG', '20101210_214327_r2_23_RLR', '20101212_222551_r2_15_VCU', '20101213_115908_r2_6_HSK', '20101218_225119_r2_6_HBY', '20101219_222131_r2_6_PHN', '20101225_224643_r2_8_LZY', '20101226_121957_r2_9_RGC', '20101231_213109_r2_6_PKW', '20110101_124506_r2_7_KIV', '20110102_121644_r2_11_PJX', '20110115_223419_r2_11_VYX', '20110129_222546_r2_15_QFH', '20110130_215641_r2_10_AXZ', '20110201_124137_r2_7_BSM', '20110202_121213_r2_3_VPR', '20110212_221735_r2_3_RHT', '20110213_214818_r2_3_KMW', '20110226_220853_r2_12_TWX', '20110227_214016_r2_3_WGG', '20110312_220114_r2_3_TKT', '20110326_115448_r2_3_DVY', '20110326_223829_r1_7_AAI', '20110402_214814_r2_2_NUD', '20110411_222557_r2_5_RMQ', '20110416_214001_r2_5_BGP', '20110423_113830_r2_6_RIU', '20110509_121203_r2_6_ZQK', '20110516_120745_r2_6_QUA', '20110522_123232_r2_6_SGM', '20110531_221440_r1_6_LFQ', '20110613_214830_r2_5_NIW']"
KDI,"['20101114_224224_r2_18_KDI', '20101126_115515_r2_7_WTF', '20101203_115111_r2_13_JJU', '20101205_123328_r2_5_KIE', '20101205_223015_r2_5_IFZ', '20101210_214327_r2_22_RNM', '20101212_222551_r2_14_XVH', '20101213_115908_r2_5_BDT', '20101218_225119_r2_5_MNS', '20101219_222131_r2_5_UVE', '20101225_224643_r2_7_KTD', '20101226_121957_r2_8_LEC', '20101231_213109_r2_5_PWU', '20110101_124506_r2_6_XWR', '20110102_121644_r2_10_RNP', '20110115_223419_r2_10_UZN', '20110129_222546_r2_14_USB', '20110130_215641_r2_9_PMM', '20110201_124137_r2_6_AKD', '20110202_121213_r2_2_HVN', '20110212_221735_r2_2_BLH', '20110213_214818_r2_2_QHL', '20110226_220853_r2_11_RHP', '20110227_214016_r2_2_FWP', '20110312_220114_r2_2_SXV', '20110326_115448_r2_2_YVZ', '20110326_223829_r1_6_YXW', '20110402_214814_r2_1_UGN', '20110411_222557_r2_4_RHG', '20110416_214001_r2_4_CJM', '20110423_113830_r2_5_NQF', '20110509_121203_r2_5_HXR', '20110516_120745_r2_5_DDM', '20110522_123232_r2_5_YSN', '20110531_221440_r1_5_UTF', '20110613_214830_r2_4_GWY']"
MBF,"['20101210_214327_r2_19_MBF', '20101212_222551_r2_12_QTC', '20101213_115908_r2_3_XKZ', '20101218_225119_r2_3_VFA', '20101219_222131_r2_3_TLG', '20101225_224643_r2_5_LGG', '20101226_121957_r2_6_WDM', '20101226_221737_r2_3_FCP', '20110101_124506_r2_12_PHK', '20110102_121644_r2_14_FPQ', '20110115_223419_r2_14_EFP', '20110129_222546_r2_16_HOE', '20110130_215641_r2_11_RUP', '20110201_124137_r2_8_NWB', '20110202_121213_r2_4_THO', '20110212_221735_r2_4_MAX', '20110213_214818_r2_4_OYV', '20110226_220853_r2_13_KLE', '20110227_214016_r2_4_CGX', '20110312_215959_r2_8_BOS']"
MLZ,"['20101212_222551_r2_11_MLZ', '20101213_115908_r2_2_FBD', '20101218_225119_r2_2_IOP', '20101219_222131_r2_2_YEZ', '20101225_224643_r2_4_WXV', '20101226_121957_r2_5_NGL', '20101231_213109_r2_3_LEG', '20110101_124506_r2_4_MYW', '20110102_121644_r2_8_VOO', '20110115_223419_r2_8_VPI']"
MTV,"['20101218_225119_r2_4_MTV', '20101219_222131_r2_4_ILD', '20101225_224643_r2_6_KJL', '20101226_121957_r2_7_IGV', '20101231_213109_r2_4_LQS', '20110101_124506_r2_5_UCE', '20110102_121644_r2_9_QVF', '20110115_223419_r2_9_ZWF', '20110129_222546_r2_13_WCO', '20110130_215641_r2_8_TOL', '20110201_124137_r2_5_GDJ', '20110202_121213_r2_1_HBP', '20110212_221735_r2_1_NZW', '20110213_214818_r2_1_MPI', '20110226_220853_r2_10_AHU', '20110227_214016_r2_1_COV', '20110312_220114_r2_1_CEH', '20110326_115448_r2_1_ECF', '20110326_223829_r1_5_GAM', '20110402_214814_r2_0_PAT', '20110411_222557_r2_3_QRS', '20110416_214001_r2_3_RMV', '20110423_113830_r2_4_VTC', '20110509_121203_r2_4_RWM', '20110516_120745_r2_4_BNA', '20110522_123232_r2_4_OOQ', '20110531_221440_r1_4_IHY', '20110613_214830_r2_3_DVS', '20110620_114620_r2_2_QDH', '20110626_121215_r2_2_QTF', '20110626_220930_r2_2_ZOT', '20110710_120325_r2_4_WXF', '20110710_220108_r2_3_XJZ', '20110711_213143_r2_2_IJQ', '20110711_221832_r1_2_ZIY', '20110712_124528_r2_2_QOA', '20110712_224301_r2_1_OIE', '20110714_114716_r2_4_UQR']"
TYF,"['20110327_212141_r2_2_TYF', '20110402_214544_r2_0_JJK', '20110403_211656_r2_3_UQV', '20110415_220624_r2_1_LPN', '20110416_213731_r2_1_UAA', '20110418_104551_r2_4_POR', '20110423_213323_r2_4_NNZ', '20110425_104138_r2_3_KDN', '20110427_211643_r2_3_ZPE', '20110501_110641_r2_9_QPG', '20110502_103730_r2_6_QHB', '20110507_113144_r2_2_PXV', '20110512_104553_r2_11_YAJ', '20110514_212142_r2_6_XVD', '20110522_105411_r2_8_VVG', '20110526_103709_r2_8_IDV', '20110528_111915_r2_5_SYH', '20110529_105006_r2_5_KJV', '20110602_211359_r1_1_VEF', '20110605_212601_r1_0_PXU', '20110613_214601_r2_0_UKS', '20110614_211643_r2_0_OEH', '20110617_212913_r2_0_TQN', '20110626_220700_r2_0_PWN', '20110627_213733_r2_0_WJK', '20110628_215454_r1_0_MBF', '20110705_215129_r1_0_KUK', '20110706_212243_r1_0_RLH', '20110707_214552_r2_1_VZD', '20110710_215838_r2_1_CZT', '20110711_212913_r2_1_AAO', '20110712_110643_r2_1_WIO', '20110712_214722_r1_2_PKC', '20110713_103714_r2_1_GYP', '20110715_111852_r2_2_UDA', '20110715_215949_r1_2_XQY', '20110716_105001_r2_2_OGF', '20110718_212452_r2_2_SGS', '20110719_110234_r2_2_TVT', '20110720_220738_r2_2_SPX', '20110727_220219_r2_1_HVC', '20110728_213325_r2_0_LNA', '20110729_111055_r2_1_HZG', '20110729_215125_r1_0_WAM', '20110731_214555_r2_13_IWY', '20110801_112254_r2_0_RQC', '20110801_220339_r1_0_KEP', '20110802_105414_r2_0_OLR', '20110803_215806_r2_0_HHD', '20110805_110647_r2_0_BPD', '20110805_214707_r1_0_UPL', '20110806_103702_r2_0_MBJ', '20110807_214145_r2_0_GVB', '20110808_215944_r1_0_SRF', '20110809_105006_r2_0_JVJ', '20110809_213017_r1_0_HJX', '20110811_212446_r2_0_VHQ', '20110814_213734_r2_4_ZRS', '20110815_111509_r2_0_AUL', '20110815_215532_r1_0_OZL', '20110816_104535_r2_0_UDZ', '20110816_212615_r1_0_GQO', '20110818_112739_r2_1_EIA', '20110818_220822_r1_1_KDB', '20110819_213851_r1_1_WWR', '20110821_213330_r2_1_WRI', '20110822_111054_r2_1_HKB', '20110822_215133_r1_1_ZGS', '20110825_112311_r2_1_EGS', '20110906_220722_r2_0_CCY', '20110909_104627_r2_0_SHY', '20110910_214948_r2_0_UNT', '20110913_220219_r2_0_RZK', '20110920_215845_r2_0_AFU', '20110922_110725_r2_0_TPB', '20110923_221109_r2_0_AOY', '20110924_214236_r2_0_ZCR', '20110925_215913_r1_0_JDA', '20110928_212557_r2_0_MUJ', '20111001_213827_r2_0_VST', '20111002_111541_r2_0_EKR', '20111003_104622_r2_0_ZHY', '20111005_112729_r2_0_DVC', '20111005_212123_r2_0_RCV', '20111006_105831_r2_0_EYI', '20111007_220319_r2_0_IGZ', '20111008_213417_r2_0_WVT', '20111009_111040_r2_0_MQF', '20111010_104146_r2_0_SNO', '20111012_112350_r2_0_PHI', '20111012_211652_r2_0_IZD', '20111016_110652_r2_0_UVF', '20111017_221109_r2_0_XAW', '20111019_215952_r1_0_FTY', '20111020_213109_r1_0_PQW', '20111022_113211_r2_1_SKU', '20111022_212519_r2_1_MZB', '20111023_110315_r2_0_UHD', '20111023_214316_r1_0_JYT', '20111024_211333_r1_0_WLP', '20111025_213752_r2_0_ZYW', '20111026_111541_r2_0_IGE', '20111026_215523_r1_1_VUS', '20111027_212554_r1_0_ZRC', '20111028_215033_r2_0_FND', '20111029_112756_r2_0_QQO', '20111029_212127_r2_0_GDL', '20111029_220814_r1_0_ISU', '20111030_105831_r2_0_RVP', '20111030_213930_r1_0_EZQ', '20111031_220321_r2_0_QQW', '20111101_213417_r2_0_XTS', '20111102_111059_r2_0_OVO', '20111103_104148_r2_0_PXZ', '20111105_112313_r2_1_WFM', '20111106_105402_r2_0_IKI', '20111108_212907_r2_0_CBC', '20111109_110648_r2_0_RHK', '20111109_214715_r1_0_PEI', '20111110_103721_r2_0_AYE', '20111110_211749_r1_0_IWK', '20111110_221119_r2_0_KTU', '20111111_214228_r2_1_JQG', '20111112_111952_r2_0_IZW', '20111112_215942_r1_0_XQV', '20111113_105006_r2_0_TAK', '20111113_213025_r1_0_KQU', '20111116_110242_r2_0_IAS', '20111116_214257_r1_0_LNS', '20111117_211433_r1_0_VAN', '20111117_220720_r2_0_AIE', '20111118_213813_r2_0_KSH', '20111119_111512_r2_1_SNT', '20111119_215522_r1_0_ZKF', '20111120_104556_r2_0_EHD', '20111120_212610_r1_0_IFI', '20111121_215051_r2_0_VRS', '20111122_112743_r2_0_GSP', '20111122_212118_r2_0_RTR', '20111123_105832_r2_0_BIS', '20111124_220323_r2_0_GKB', '20111125_213329_r2_2_QTM', '20111126_111100_r2_2_UPX', '20111127_104143_r2_1_RSD', '20111128_214547_r2_1_RMU', '20111129_112326_r2_1_KTJ', '20111129_211712_r2_0_LTT', '20111130_105417_r2_0_WHP', '20111203_110653_r2_2_GQP', '20111204_103735_r2_2_KAX', '20111204_211746_r1_3_GBJ', '20111204_221108_r2_0_WKT', '20111206_111923_r2_1_ZIT', '20111207_105006_r2_0_OCE', '20111210_110242_r2_1_QZA', '20111213_111542_r2_2_PGJ', '20111214_104558_r2_1_MMC', '20111214_212555_r1_0_UWR', '20111217_105831_r2_2_SHP', '20111218_220240_r2_5_RMH', '20111220_111132_r2_0_YRI', '20111221_104145_r2_1_RPV', '20111224_105412_r2_0_NXB', '20111225_215841_r2_3_BGM', '20111227_110652_r2_5_EMU', '20111228_103739_r2_3_YYH', '20111228_211822_r1_0_VZG', '20111229_214149_r2_0_OLG', '20111230_111924_r2_0_AEG', '20111231_105010_r2_0_ATS', '20111231_213059_r1_0_KWF', '20120101_215440_r2_0_HHX', '20120102_212455_r2_1_YRD', '20120103_110253_r2_0_AIN', '20120106_111525_r2_1_UEB', '20120107_104614_r2_1_ALT', '20120108_215016_r2_3_BJQ', '20120110_105845_r2_3_BMV', '20120113_111115_r2_0_BOH', '20120114_104145_r2_0_CFO', '20120115_214600_r2_1_UWD', '20120116_112312_r2_5_OZP', '20120117_105407_r2_0_SPB', '20120119_212905_r2_2_UHS', '20120120_110645_r2_2_KHB', '20120121_103738_r2_2_IVL', '20120122_214135_r2_2_XVL', '20120123_111901_r2_4_JTM', '20120124_105003_r2_4_DZB', '20120127_110231_r2_6_MOK', '20120128_220709_r2_3_KNH', '20120129_213725_r2_1_AFU', '20120131_104546_r2_1_TJT', '20120204_220309_r2_1_WWG', '20120205_213341_r2_1_BKN', '20120207_104146_r2_3_ICJ', '20120210_105416_r2_3_IHD', '20120211_215856_r2_2_DFI', '20120212_212914_r2_3_QZX', '20120214_103735_r2_2_RWF', '20120217_105006_r2_2_OCT', '20120219_212458_r2_7_BMJ', '20120224_104604_r2_2_EMW', '20120225_215016_r2_2_YRC', '20120226_112725_r2_2_EJF', '20120226_212051_r2_1_WUW', '20120228_220328_r2_0_HYK', '20120229_213407_r2_0_YWH', '20120304_112309_r2_1_QHJ', '20120304_211658_r2_1_DEX', '20120305_105419_r2_1_XPM', '20120309_103742_r2_2_IRO', '20120311_111901_r2_1_HVZ', '20120312_105008_r2_3_CPM', '20120317_213804_r2_0_YBN', '20120318_111448_r2_0_XAK', '20120331_212939_r2_2_GTC', '20120401_110623_r2_2_TJA', '20120407_212531_r2_2_HPM', '20120408_110212_r2_2_FLL', '20120412_104533_r2_2_KHQ', '20120413_215030_r2_3_XIS', '20120414_112716_r2_1_ELR', '20120414_212121_r2_1_IJC', '20120415_105802_r2_1_WWU', '20120419_104117_r2_1_XFP', '20120421_112309_r2_1_BDG', '20120422_105353_r2_1_TPW', '20120427_214148_r2_6_OHB', '20120428_111857_r2_1_CXJ', '20120429_104943_r2_1_TPX', '20120502_110245_r2_1_RZN', '20120505_111513_r2_2_UBS', '20120506_104614_r2_2_HEL', '20120508_212121_r2_0_OMD', '20120512_111103_r2_4_BTV', '20120513_104151_r2_5_ZOT', '20120515_211652_r2_3_ZLF', '20120516_105434_r2_3_LEY', '20120518_212856_r2_1_JIE', '20120519_110657_r2_1_XIL', '20120520_103751_r2_1_VTR', '20120520_221124_r2_0_OKC', '20120523_105024_r2_0_BHQ', '20120525_212538_r2_0_BBP', '20120527_220715_r2_0_YAB', '20120530_104609_r2_4_ADQ', '20120602_105832_r2_0_KLF', '20120603_220247_r2_4_GKW', '20120606_104146_r2_4_PHU', '20120608_211658_r2_4_MFV', '20120609_105419_r2_4_GVX', '20120610_215859_r2_1_QOR', '20120611_212906_r2_4_LCR', '20120613_103737_r2_4_SAE', '20120614_214237_r2_0_GQG', '20120616_105008_r2_0_AEH', '20120619_110242_r2_0_ZCQ', '20120623_104556_r2_0_TZL', '20120624_215011_r2_0_IFF', '20120625_112738_r2_0_XNV', '20120626_105830_r2_3_QQW', '20120630_104146_r2_0_UCE', '20120701_214556_r2_1_ODH', '20120702_112332_r2_1_GDK', '20120702_211647_r2_7_CIP', '20120703_105418_r2_7_XJZ', '20120705_212917_r2_7_GEZ', '20120706_110651_r2_6_ZIQ', '20120707_103735_r2_6_ECM', '20120707_221059_r2_0_KYA', '20120708_214211_r2_0_SSQ', '20120709_111924_r2_0_EYJ', '20120712_212546_r2_0_WQK', '20120713_110243_r2_0_AAV', '20120714_220711_r2_0_UXS', '20120715_213736_r2_1_UYM', '20120716_111452_r2_0_UPX', '20120717_104556_r2_0_GZN', '20120718_215052_r2_0_IUL', '20120719_112715_r2_0_PPT', '20120720_105830_r2_0_XQE', '20120722_213350_r2_0_DBM', '20120723_111100_r2_0_CNN', '20120724_104150_r2_0_XNU', '20120725_214557_r2_0_UIV', '20120726_112311_r2_0_RRS', '20120727_105419_r2_0_KAZ', '20120728_215855_r2_0_SGS', '20120729_212925_r2_0_WTB', '20120730_110648_r2_0_DTE', '20120731_103734_r2_0_IHF', '20120801_214237_r2_0_BHK', '20120802_111955_r2_0_EYR', '20120803_104930_r2_0_ANF', '20120805_113135_r2_1_TCC', '20120806_110258_r2_0_CUE', '20120807_220712_r2_1_QHV', '20120809_111445_r2_1_ZLZ', '20120810_104518_r2_0_JVS', '20120812_112746_r2_2_LJZ', '20120813_105826_r2_0_TKW']"
LOC,"['20110402_214544_r2_1_LOC', '20110403_211656_r2_4_GGB', '20110415_220624_r2_0_DDX', '20110416_213731_r2_0_LLD', '20110418_104551_r2_3_MCB', '20110423_213323_r2_3_QQE', '20110425_104138_r2_2_BHC', '20110427_211643_r2_2_JTT', '20110501_110641_r2_8_HVE', '20110502_103730_r2_5_GOM', '20110512_104553_r2_15_JXT', '20110514_212142_r2_10_WMM', '20110522_105411_r2_12_MSY', '20110526_103709_r2_10_TRJ', '20110528_111915_r2_7_TAL', '20110529_105006_r2_7_MYF', '20110602_211359_r1_2_UXO', '20110605_212601_r1_1_OPJ', '20110613_214601_r2_1_SEU', '20110614_211643_r2_1_KMQ', '20110617_212913_r2_1_NDA', '20110626_220700_r2_1_GEA', '20110627_213733_r2_1_MKI', '20110628_215454_r1_1_DKU', '20110705_215129_r1_1_MSU', '20110706_212243_r1_1_OXA', '20110707_214552_r2_0_FJV', '20110710_215838_r2_0_BXC', '20110711_212913_r2_0_HIF', '20110712_110643_r2_0_ZQA', '20110712_214722_r1_0_FOF']"
CWT,"['20110710_120325_r2_6_CWT', '20110710_220108_r2_5_QKP']"
FHE,"['20110710_120325_r2_7_FHE', '20110710_220108_r2_6_JKE']"
NRW,"['20110710_120325_r2_5_NRW', '20110710_220108_r2_4_CJI']"
