20101016_013104_es_2_VVZ,20101016_115108_r2_19_WBS,20101016_013104_es_1_HMZ,20101013_012655_es_16_RGW,20101022_221241_r2_17_YBD,20101021_224245_r2_7_LZV,20101022_221241_r2_13_QQZ,20101022_221241_r2_16_TYT,20101022_221241_r2_15_ZTL,20101026_115942_r2_15_VIN,20101113_113437_r2_3_YGU,20101126_115515_r2_15_ZKK,20101114_224224_r2_17_XPK,20101114_224224_r2_19_XUN,20101114_224224_r2_18_KDI,20101210_214327_r2_19_MBF,20101212_222551_r2_11_MLZ,20101218_225119_r2_4_MTV,20110327_212141_r2_2_TYF,20110402_214544_r2_1_LOC,20110710_120325_r2_6_CWT,20110710_120325_r2_7_FHE,20110710_120325_r2_5_NRW,20110724_214503_r2_1_DSL,20110726_213437_r1_8_SBK,20111125_213329_r2_3_MJY,20111204_211746_r1_2_SWX,20111204_211746_r1_4_UKL,20111204_221223_r2_3_NIZ,20111211_103320_r2_3_YMB,20111210_110242_r2_2_ZFI,20111217_105831_r2_6_YUA,20120415_105916_r2_2_ZDN,20120415_105916_r2_4_OUR,20120627_102915_r2_2_WTD,20120706_110651_r2_8_KYV,20120711_215421_r2_4_FQX,20120722_213235_r2_3_AKP,20120728_215740_r2_4_QOW,20120728_215740_r2_6_BCQ,20120821_215913_r2_0_MIB,20120824_221050_r2_0_THX,20120909_111056_r2_1_BOR,20120909_111056_r2_7_QON,20120909_111056_r2_0_WOC,20121028_122028_r2_12_NLJ,20121031_213540_r1_1_OGG,20121116_212116_r2_1_FPI,20121116_212116_r2_0_YVI,20121119_213339_r2_4_ZSD,20121119_213339_r2_3_XND,20121120_111101_r2_1_CUK,20121231_111605_r2_1_SHV,20130314_104641_r2_3_UTZ,20130717_113835_r2_1_NWT,20101106_113811_r2_18_YFG,20111129_211557_r2_0_QYB,20120627_102915_r2_3_DTQ,20120819_211649_r2_1_EQD,20120813_105941_r2_0_EMX,20120909_111056_r2_4_NSX,20120909_111056_r2_5_DYX,20120909_111056_r2_8_BMZ,20120909_111056_r2_6_QWO,20120923_110236_r2_8_BPY,20101026_115942_r2_22_ZUP,20101106_113811_r2_22_WNT,20120626_105830_r2_5_HSD,20120923_110236_r2_9_VQQ,20130114_110652_r2_12_DDO,20130114_110652_r2_18_UHW
20101016_115108_r2_15_BNT,20101018_223016_r2_9_PPG,20101016_115108_r2_16_YAC,20101014_161103_es_12_XAZ,20101026_115942_r2_18_MPG,20101022_221241_r2_8_DXJ,20101026_115942_r2_14_RNY,20101026_115942_r2_17_DCI,20101026_115942_r2_16_HNC,20101026_215643_r2_1_GQS,20101113_213143_r2_4_BNJ,20101203_115111_r2_19_NWH,20101126_115515_r2_6_KKY,20101126_115515_r2_8_JCQ,20101126_115515_r2_7_WTF,20101212_222551_r2_12_QTC,20101213_115908_r2_2_FBD,20101219_222131_r2_4_ILD,20110402_214544_r2_0_JJK,20110403_211656_r2_4_GGB,20110710_220108_r2_5_QKP,20110710_220108_r2_6_JKE,20110710_220108_r2_4_CJI,20110725_211535_r2_1_NAU,20110727_094038_r1_9_HUY,20111126_111100_r2_3_GVL,20111205_214053_r2_2_OYA,20111205_214053_r2_3_ALY,20111206_111923_r2_0_YCA,20111213_111542_r2_3_CVW,20111211_103320_r2_0_GEP,20111218_102917_r2_3_KSB,20120416_102911_r2_2_ABG,20120416_102911_r2_4_OJM,20120630_104146_r2_4_YJH,20120707_103735_r2_9_MCL,20120712_212431_r2_3_SGZ,20120723_111100_r2_3_ZSV,20120729_212925_r2_4_UOB,20120729_212807_r2_1_JZT,20120824_221204_r2_0_MTU,20120826_112001_r2_0_RKJ,20120916_110648_r2_1_YAZ,20120916_110648_r2_6_VUO,20120916_110648_r2_0_KRM,20121028_221758_r2_11_UQX,20121031_222905_r2_1_DKM,20121118_111740_r1_2_DHW,20121118_111740_r1_1_JFT,20121120_111101_r2_5_MGH,20121120_111101_r2_4_BNU,20121125_215852_r2_2_QPE,20130104_105835_r2_1_DYN,20130316_212052_r2_3_GVJ,20130717_213518_r2_1_KCJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120627_102915_r2_4_RNV,NA,NA,NA
20101018_223016_r2_13_PPL,20101106_113811_r2_16_VJH,20101018_223016_r2_14_ZGS,20101016_013104_es_3_GGF,20101026_215643_r2_7_QRP,20101026_115942_r2_20_ICR,20101026_215643_r2_0_TWR,20101026_215643_r2_6_VGL,20101026_215643_r2_8_BBF,20101106_113811_r2_14_DIP,20101114_224224_r2_11_VCO,20101205_123328_r2_10_BST,20101203_115111_r2_12_NBW,20101203_115111_r2_14_ZVC,20101203_115111_r2_13_JJU,20101213_115908_r2_3_XKZ,20101218_225119_r2_2_IOP,20101225_224643_r2_6_KJL,20110403_211656_r2_3_UQV,20110415_220624_r2_0_DDX,NA,NA,NA,20110726_100909_r1_1_MXT,NA,20111127_104143_r2_2_OAI,20111207_105006_r2_2_PVU,20111207_105006_r2_3_FTO,20111210_110242_r2_0_SLN,NA,20111212_213648_r2_1_EFD,20111218_220240_r2_3_AOH,20120417_213332_r2_0_DHR,20120417_213332_r2_2_YBK,NA,20120707_221059_r2_1_IPL,20120713_110243_r2_4_GBJ,20120724_104150_r2_3_KRO,20120730_110648_r2_4_WSF,20120731_103849_r2_1_MBF,20120825_114808_r2_0_CVR,20120827_105005_r2_1_VEK,20120923_110236_r2_1_NJM,20120923_110236_r2_5_ZVI,20120923_110236_r2_0_KTK,20121029_115112_r2_12_SBQ,20121102_113607_r2_0_BOU,NA,20121118_220243_r2_1_NML,20121125_215852_r2_4_JLK,20121123_112333_r2_3_KZO,20121127_110654_r2_6_UNT,20130105_220153_r2_1_DDE,20130317_105829_r2_3_VWB,20130718_124930_r2_4_RUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120630_104146_r2_2_VNQ,NA,NA,NA
20101021_224245_r2_9_QUW,NA,20101021_224245_r2_10_WPX,20101021_224245_r2_8_KKS,NA,20101106_113811_r2_21_RVH,20101028_164638_es_7_IDW,NA,20101031_125420_r2_3_NPF,20101107_224624_r2_6_KBY,20101126_115515_r2_14_MUK,20101205_223015_r2_9_IEZ,20101205_123328_r2_4_BYE,20101205_123328_r2_6_PIX,20101205_123328_r2_5_KIE,20101218_225119_r2_3_VFA,20101219_222131_r2_2_YEZ,20101226_121957_r2_7_IGV,20110415_220624_r2_1_LPN,20110416_213731_r2_0_LLD,NA,NA,NA,20110727_094038_r1_11_CAI,NA,20111128_214547_r2_2_NGH,20111210_110242_r2_3_GIJ,20111210_110242_r2_4_FDL,20111211_220808_r2_5_LOK,NA,20111214_104558_r2_2_CRC,20111220_111132_r2_2_BXP,20120419_104232_r2_0_VFQ,20120421_211634_r2_1_ROO,NA,20120708_214211_r2_1_COR,20120714_103323_r2_3_UTC,NA,20120731_103734_r2_4_TBR,20120803_105045_r2_0_YSJ,20120902_111451_r2_2_UFM,NA,20121006_112310_r2_0_WXV,NA,NA,20121030_220705_r1_8_HZA,20121102_221705_r1_0_WGN,NA,20121119_213339_r2_1_KNA,20121127_110654_r2_10_WWG,20121125_215852_r2_1_WAJ,20121127_214709_r1_2_ECQ,20130106_213242_r2_2_PYW,20130321_104232_r2_3_TMP,20130718_224725_r2_3_DMK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120701_214556_r2_3_WUD,NA,NA,NA
20101022_221241_r2_11_IOF,NA,20101022_221241_r2_10_GHS,20101022_221241_r2_9_NSI,NA,NA,20101030_020041_es_0_IYI,NA,20101031_225047_r2_3_BOQ,NA,20101203_115111_r2_18_MID,20101210_214327_r2_26_IPM,20101205_223015_r2_4_XHV,20101205_223015_r2_6_KFG,20101205_223015_r2_5_IFZ,20101219_222131_r2_3_TLG,20101225_224643_r2_4_WXV,20101231_213109_r2_4_LQS,20110416_213731_r2_1_UAA,20110418_104551_r2_3_MCB,NA,NA,NA,NA,NA,NA,20111211_103320_r2_1_UTQ,20111211_103320_r2_2_JDC,20111216_112743_r2_1_COH,NA,20111214_212555_r1_1_QJB,20111221_104145_r2_3_QTF,20120421_211634_r2_2_KRT,20120422_105507_r2_1_SQD,NA,20120709_111924_r2_2_SYD,20120715_213736_r2_5_UHO,NA,NA,20120804_102101_r2_1_AFU,20120904_115657_r2_0_FBY,NA,20121007_105423_r2_0_JDV,NA,NA,20121031_123259_r2_6_QHN,20121103_110655_r2_0_CAC,NA,20121120_111101_r2_2_KCB,20121127_214709_r1_5_QSK,20121127_110654_r2_5_BRF,20121130_111923_r2_8_IHO,20130107_111108_r2_17_WRM,20130324_105419_r2_8_HDS,20130719_122021_r2_3_ZEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120702_211647_r2_1_HHX,NA,NA,NA
20101026_115942_r2_12_IYH,NA,20101026_115942_r2_11_BDW,20101026_115942_r2_21_OXT,NA,NA,20101031_125420_r2_1_UCX,NA,20101106_113811_r2_1_UOQ,NA,20101205_123328_r2_9_MTH,20101212_222551_r2_18_REX,NA,20101210_214327_r2_23_RLR,20101210_214327_r2_22_RNM,20101225_224643_r2_5_LGG,20101226_121957_r2_5_NGL,20110101_124506_r2_5_UCE,20110418_104551_r2_4_POR,20110423_213323_r2_3_QQE,NA,NA,NA,NA,NA,NA,NA,20111212_213648_r2_3_QSS,20111217_105831_r2_0_IGK,NA,20111217_105831_r2_3_AMY,20111224_105412_r2_2_ZAI,20120422_105507_r2_2_BCG,20120423_102550_r2_5_KEF,NA,20120711_215421_r2_6_SAI,20120717_104556_r2_5_MVE,NA,NA,20120806_110258_r2_2_DEH,20120906_223300_r2_3_CRR,NA,20121014_105012_r2_1_NDE,NA,NA,20121031_213655_r1_5_WLI,20121106_111926_r2_2_CVF,NA,20121123_112333_r2_2_IRK,20121130_111923_r2_10_URO,20121127_214709_r1_1_MKL,20121201_105010_r2_2_RDX,20130114_110652_r2_9_HZK,20130328_103815_r2_5_XFS,20130719_221806_r2_3_HYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120703_105418_r2_1_DLO,NA,NA,NA
20101026_215643_r2_4_ILT,NA,20101026_215643_r2_5_ENZ,20101028_164638_es_1_VLW,NA,NA,20101031_163748_es_3_RLQ,NA,20101107_224624_r2_1_CKB,NA,20101205_223015_r2_8_AGL,20101213_115908_r2_9_AJB,NA,20101212_222551_r2_15_VCU,20101212_222551_r2_14_XVH,20101226_121957_r2_6_WDM,20101231_213109_r2_3_LEG,20110102_121644_r2_9_QVF,20110423_213323_r2_4_NNZ,20110425_104138_r2_2_BHC,NA,NA,NA,NA,NA,NA,NA,20111213_111542_r2_0_KIE,20111218_220346_r2_4_PAF,NA,20111218_102917_r2_1_RHY,NA,20120423_102550_r2_2_DIY,20120424_212839_r2_4_JIY,NA,20120712_212546_r2_1_ZSC,20120718_214937_r2_5_HVB,NA,NA,20120807_103418_r2_0_DRQ,20120908_113956_r2_0_CFA,NA,20121018_220725_r2_0_DLI,NA,NA,20121031_223020_r2_4_TNT,20121109_113156_r2_0_TZJ,NA,20121125_215852_r2_0_AKL,20121201_105010_r2_4_ATN,20121130_111923_r2_7_VMQ,20121202_215424_r2_0_CEA,20130117_112019_r2_0_OPH,20130331_105008_r2_8_EFX,20130720_115106_r2_2_DPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120704_102505_r2_1_ZWI,NA,NA,NA
NA,NA,20101028_164638_es_9_XJX,20101030_020041_es_7_PBA,NA,NA,20101031_225047_r2_2_PJS,NA,NA,NA,20101210_214327_r2_25_JJR,20101218_225119_r2_9_EAJ,NA,20101213_115908_r2_6_HSK,20101213_115908_r2_5_BDT,20101226_221737_r2_3_FCP,20110101_124506_r2_4_MYW,20110115_223419_r2_9_ZWF,20110425_104138_r2_3_KDN,20110427_211643_r2_2_JTT,NA,NA,NA,NA,NA,NA,NA,20111214_104558_r2_0_YGP,20111219_114025_r2_0_EJA,NA,NA,NA,20120424_212839_r2_2_RPY,20120427_214148_r2_3_DWT,NA,20120713_110243_r2_7_RCL,20120720_105830_r2_5_XFF,NA,NA,NA,NA,NA,20121023_112721_r2_2_PVG,NA,NA,20121102_113453_r2_3_YQP,20121110_110245_r2_0_MJQ,NA,20121127_110654_r2_4_VEB,20121202_215424_r2_3_OEM,20121201_105010_r2_1_QKS,20121203_212457_r2_0_IAO,20130121_110245_r2_5_HRI,20130404_103412_r2_6_PEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120705_212917_r2_1_MJV,NA,NA,NA
NA,NA,20101030_020041_es_5_ZLO,NA,NA,NA,20101106_113811_r2_0_CNY,NA,NA,NA,20101212_222551_r2_17_QHX,20101219_222131_r2_9_KCZ,NA,20101218_225119_r2_6_HBY,20101218_225119_r2_5_MNS,20110101_124506_r2_12_PHK,20110102_121644_r2_8_VOO,20110129_222546_r2_13_WCO,20110427_211643_r2_3_ZPE,20110501_110641_r2_8_HVE,NA,NA,NA,NA,NA,NA,NA,20111217_105831_r2_1_ILJ,20111223_112333_r2_2_QSS,NA,NA,NA,20120427_214148_r2_1_MWD,20120429_105057_r2_2_FFP,NA,20120714_220711_r2_1_VRD,20120721_102911_r2_2_FDM,NA,NA,NA,NA,NA,20121024_105834_r2_1_GVI,NA,NA,20121102_221935_r1_3_GLI,20121111_220715_r2_6_IQW,NA,20121127_214709_r1_0_SOQ,20121203_212457_r2_3_QIA,20121202_215424_r2_2_OXZ,20121204_110244_r2_0_RNF,20130122_103316_r2_0_WIG,20130405_213647_r2_3_RRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120706_110651_r2_7_JNL,NA,NA,NA
NA,NA,NA,NA,NA,NA,20101107_224624_r2_0_QAM,NA,NA,NA,20101213_115908_r2_8_BNV,20101225_224643_r2_11_VNQ,NA,20101219_222131_r2_6_PHN,20101219_222131_r2_5_UVE,20110102_121644_r2_14_FPQ,20110115_223419_r2_8_VPI,20110130_215641_r2_8_TOL,20110501_110641_r2_9_QPG,20110502_103730_r2_5_GOM,NA,NA,NA,NA,NA,NA,NA,20111218_102917_r2_0_DBT,20111225_215927_r2_0_LCO,NA,NA,NA,20120429_105057_r2_1_LPC,20120503_103343_r2_2_STV,NA,20120715_213736_r2_7_WII,20120722_213235_r2_2_SYY,NA,NA,NA,NA,NA,20121027_111042_r2_1_ACF,NA,NA,20121103_215024_r1_6_ZLU,20121118_220357_r2_4_HOU,NA,20121130_111923_r2_6_PSA,20121204_110244_r2_3_WUA,20121203_212457_r2_2_ECV,20121205_103326_r2_0_XAG,20130124_111457_r2_6_XWF,20130406_111505_r2_4_GAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20120707_103735_r2_7_YDG,NA,NA,NA
