20120918_114628_r2_14_IIJ,20120918_114628_r2_13_IBK,20120930_214216_r1_20_TYE,20120924_121223_r2_3_OCC,20121007_205054_r2_32_RCR,20121007_123255_r2_7_WOY,20121004_221755_r2_15_RXJ,20121006_220654_r1_5_IJC,20121004_212457_r1_5_NZK,20121018_121207_r2_8_PWQ,20121021_212910_r1_24_XTA,20121020_125350_r2_2_RCX,20121025_120755_r2_1_JEA,20121118_120653_r2_6_MKA,20121118_120653_r2_5_NAE,20121118_120653_r2_7_XBU,20121118_120653_r2_4_CDL,20121118_120653_r2_0_EFL,20121202_115943_r2_7_NEL,20121128_221342_r2_2_ATQ,20121128_221227_r2_3_VQT,20121128_221342_r2_0_KWQ,20121128_221227_r2_1_JQF,20121128_221342_r2_1_UAB,20121128_221227_r2_2_PZB,20121207_111516_r2_7_GXZ,20121215_221721_r2_2_FGA,20121231_111450_r2_7_JXG,20130414_221733_r2_5_WTW,20130525_222120_r2_6_IYI,20130714_212427_r2_2_EXR,20130830_115653_r2_2_UYW,20121117_223416_r2_4_UZN,20130105_220308_r2_14_LDY,20121020_125350_r2_11_KBI,20121017_124120_r2_4_YCV
20120918_214439_r2_14_GYG,20120918_214439_r2_13_OHF,20121004_212457_r1_16_KUV,20120924_220906_r2_4_AOQ,20121008_120325_r2_17_BIS,20121007_223026_r2_6_WYB,20121005_115106_r2_12_JOV,20121007_205054_r2_30_HXL,20121004_221755_r2_9_ODA,20121018_211631_r1_5_UUL,20121028_203803_r2_6_EMN,20121020_215816_r1_25_KHZ,20121027_124940_r2_13_YFP,20121125_220204_r2_5_DTN,20121125_220204_r2_4_XTI,20121125_220204_r2_6_AMI,20121125_220204_r2_3_RWB,20121125_220204_r2_0_QPO,20121202_215654_r2_5_CLC,20121129_114721_r2_2_YWH,20121129_114836_r2_3_IFJ,20121129_114721_r2_0_SOB,20121129_114836_r2_1_PHO,20121129_114721_r2_1_CUJ,20121129_114836_r2_2_RXS,20121208_222027_r2_1_ZCE,20121216_115119_r2_2_FUZ,20130105_220308_r2_13_OGS,20130417_123216_r2_7_BNS,20130526_115531_r2_6_EUL,20130717_213633_r2_8_SUF,20130831_230242_r2_0_OJN,NA,20130106_114013_r2_6_NBE,20121020_215816_r1_16_JAO,NA
20120919_211515_r2_13_NHH,20120919_211515_r2_12_ZIQ,20121004_221755_r2_18_WSK,20120925_114310_r2_2_BWF,20121009_113321_r2_15_UAC,20121008_120325_r2_6_BZU,20121006_130207_r2_6_ZIO,20121008_120325_r2_19_MTL,20121005_115106_r2_6_OMY,20121019_114250_r2_9_BKT,NA,20121021_122339_r2_16_PUS,20121028_122028_r2_13_AAY,20121202_115829_r2_5_XJQ,20121202_115829_r2_4_NFT,20121202_115829_r2_6_YQM,20121202_115829_r2_3_EBO,20121202_115829_r2_1_FQS,NA,20121201_222630_r2_2_ZAI,20121130_111923_r2_3_VOA,20121201_222630_r2_0_UAQ,20121130_111923_r2_1_FUV,20121201_222630_r2_1_EYT,20121130_111923_r2_2_VTS,20121209_115635_r2_1_YBM,20121222_121641_r2_8_LVE,20130106_114013_r2_5_FLN,20130420_124535_r2_5_YVT,NA,20130725_210322_r2_11_EKZ,NA,NA,20130106_213356_r2_6_OKJ,20121021_122454_r2_5_RUT,NA
20120920_122719_r2_66_JMM,20120920_122719_r2_65_NCK,20121006_220654_r1_19_DBX,20120925_214003_r2_3_HJL,20121014_204649_r2_52_UPW,20121010_124526_r2_0_AXU,20121006_220654_r1_11_SOU,20121009_113321_r2_13_RMI,20121006_220654_r1_1_MFM,20121019_222755_r1_6_ACM,NA,20121021_212910_r1_22_GJC,20121028_221758_r2_12_VVF,20121202_215654_r2_12_JQB,20121202_215654_r2_11_GXR,20121202_215654_r2_13_UWN,20121202_215654_r2_10_BWP,20121202_215654_r2_8_XEF,NA,20121202_115943_r2_2_AXM,20121201_222437_r2_3_MUX,20121202_115943_r2_0_TRV,20121201_222437_r2_1_QIB,20121202_115943_r2_1_CPR,20121201_222437_r2_2_DXU,20121210_112746_r2_1_IRX,20121222_221357_r2_4_BRR,20130106_213356_r2_5_SRT,20130421_121609_r2_5_YZO,NA,20130727_214454_r2_10_RHY,NA,NA,20130107_111108_r2_6_QTZ,20121021_212910_r1_2_QOF,NA
20120920_204622_r2_51_DVQ,20120920_204622_r2_50_VXI,20121007_205054_r2_36_ZJE,20120926_125407_r2_2_QVF,20121020_215816_r1_5_NCG,20121010_224255_r2_0_QXN,20121007_123255_r2_8_CUC,20121010_124526_r2_4_APE,20121007_123255_r2_1_ERA,20121020_125350_r2_8_FWJ,NA,20121022_115523_r2_2_TEJ,20121030_130208_r2_2_YQQ,20121209_215312_r2_7_PAM,20121209_215312_r2_6_EMS,20121209_215312_r2_8_JPA,20121208_222213_r2_11_UCO,20121208_222213_r2_9_QHA,NA,20121202_215654_r2_2_TWY,20121202_215539_r2_9_EVU,20121202_215654_r2_0_JXV,20121202_215539_r2_7_USX,20121202_215654_r2_1_PYA,20121202_215539_r2_8_IUF,20121214_111102_r2_1_PUF,20121229_121118_r2_6_HVZ,20130107_111108_r2_5_ZMT,20130421_221331_r2_9_NGS,NA,20130728_211528_r2_8_QHT,NA,NA,20130113_113551_r2_6_XAA,20121021_222132_r2_12_APN,NA
20120921_115804_r2_50_LZD,20120921_115804_r2_49_MSU,20121008_120325_r2_26_QER,20120926_215740_r1_0_GFM,20121021_122339_r2_10_UDK,20121011_121616_r2_10_EKA,20121007_223026_r2_7_ZRF,NA,20121007_223026_r2_1_LSO,20121020_215816_r1_19_SQJ,NA,20121024_123709_r2_4_VVW,20121030_220705_r1_2_GVG,20121216_115007_r2_5_NHO,20121215_221835_r2_4_ZOB,20121216_115007_r2_6_BOT,20121209_215312_r2_5_XZR,20121209_215312_r2_3_QEW,NA,20121203_113042_r2_2_XNG,20121203_113156_r2_3_MAA,20121203_113042_r2_0_RUS,20121203_113156_r2_1_ZWW,20121203_113042_r2_1_OXH,20121203_113156_r2_2_DFY,20121216_115233_r2_1_YGQ,20121229_220951_r2_4_OEP,20130113_113551_r2_5_PWL,20130423_125721_r2_6_VCV,NA,20130801_124025_r2_8_CNR,NA,NA,20130113_213031_r2_1_RLW,20121022_115523_r2_7_HIT,NA
20120921_215744_r2_19_UJO,20120921_215744_r2_18_MVX,20121009_113321_r2_8_ILD,20120927_122456_r2_5_WDR,20121021_212910_r1_16_HPM,20121012_114657_r2_2_KEZ,20121008_120325_r2_7_PUC,NA,20121008_120325_r2_1_APK,20121021_122454_r2_8_CKM,NA,20121025_120755_r2_4_ZWS,20121031_123259_r2_2_PKB,20121216_214909_r2_5_KRT,20121216_115007_r2_3_ZBO,20121216_214909_r2_6_BDC,20121215_221835_r2_3_DTE,20121215_221835_r2_1_TVL,NA,20121208_222213_r2_5_GNX,20121207_111516_r2_11_KDV,20121208_222213_r2_3_ISX,20121207_111516_r2_9_SWO,20121208_222213_r2_4_ICS,20121207_111516_r2_10_EWK,20121216_214632_r2_1_ZYT,20130105_220505_r2_7_OYB,20130113_213031_r2_0_NBF,20130424_122805_r2_6_WBK,NA,20130801_205833_r2_8_HVO,NA,NA,20130114_110652_r2_1_PHS,20121022_215226_r2_4_KGY,NA
20120922_130952_r2_14_DBO,20120922_130952_r2_13_UBA,20121014_204649_r2_49_AUD,20120927_222131_r2_5_YZY,20121028_221758_r2_17_WVP,20121013_125756_r2_1_HKL,20121010_124526_r2_1_EVH,NA,20121009_113436_r2_1_JXB,20121021_212910_r1_5_ZHC,NA,20121026_113838_r2_2_PHW,20121031_223020_r2_10_KQV,20121222_221357_r2_11_ZWJ,20121216_214909_r2_3_XUD,20121222_221357_r2_12_LFM,20121216_115007_r2_4_YIE,20121216_115007_r2_1_UBJ,NA,20121209_115521_r2_4_HJW,20121208_222027_r2_4_HOO,20121209_115521_r2_2_QWK,20121208_222027_r2_2_DXB,20121209_115521_r2_3_LWZ,20121208_222027_r2_3_LZI,20121222_221123_r2_2_SKJ,20130106_113858_r2_3_DHX,20130114_110652_r2_0_CZA,20130427_124113_r2_5_CVD,NA,20130802_121104_r2_9_FWV,NA,NA,20130120_113156_r2_4_RRL,NA,NA
20120922_212737_r2_13_ZUE,20120922_212737_r2_12_LZW,20121020_215816_r1_2_BAS,20120928_115539_r2_5_BDO,20121030_220705_r1_11_VJK,20121013_225526_r2_0_XTR,20121010_224255_r2_1_GJI,NA,20121009_213208_r2_0_PHJ,20121021_222132_r2_9_NND,NA,20121027_124940_r2_2_GOH,20121102_221935_r1_10_PSX,20121223_214523_r2_1_ADD,20121222_221357_r2_9_RUW,20121223_214523_r2_2_ZRJ,20121216_214909_r2_4_GLO,20121216_214909_r2_1_HPJ,NA,20121215_122042_r2_6_PHJ,20121209_115635_r2_4_GIN,20121215_122042_r2_4_HJG,20121209_115635_r2_2_ZNJ,20121215_122042_r2_5_ZFO,20121209_115635_r2_3_VAM,20121224_111902_r2_3_YDP,20130106_213629_r2_0_MUP,20130120_113156_r2_3_MTF,20130427_223844_r2_4_QUX,NA,20130802_220921_r2_13_QFJ,NA,NA,20130121_110245_r2_1_JBB,NA,NA
20120923_205859_r2_16_BHS,20120923_205859_r2_15_KOP,20121021_122339_r2_7_IRV,20120928_215218_r2_6_UKL,20121103_215024_r1_13_YPU,20121014_122841_r2_1_BXN,20121011_121616_r2_15_YTC,NA,20121010_124526_r2_15_VNF,20121022_115523_r2_10_DAY,NA,20121028_122028_r2_2_SFD,20121103_124603_r2_3_EOW,20121229_121118_r2_1_ORZ,20121223_214523_r2_0_OZC,20121229_121118_r2_2_HLV,20121222_221357_r2_10_HNI,20121222_221357_r2_7_DWB,NA,20121215_221721_r2_6_WNG,20121210_112746_r2_4_FUD,20121215_221721_r2_4_NDK,20121210_112746_r2_2_ZIJ,20121215_221721_r2_5_MUJ,20121210_112746_r2_3_FUY,NA,20130114_224226_r2_1_IIJ,20130121_110245_r2_0_UWQ,20130428_220941_r2_4_CLE,NA,20130803_114150_r2_6_SXZ,NA,NA,20130122_220814_r2_1_DMN,NA,NA
20120926_215855_r1_13_CGL,20120926_215855_r1_12_XMD,20121021_212910_r1_13_ISP,20120930_123720_r2_7_FMR,20121104_121517_r2_3_PFU,20121014_222621_r2_1_GGM,20121012_114657_r2_7_CPS,NA,20121011_121616_r2_9_NQR,20121022_215226_r2_7_BFA,NA,20121028_221758_r2_2_FXY,NA,20121229_220951_r2_1_DQZ,20121229_121118_r2_0_QZQ,20121229_220951_r2_2_ONJ,20121229_121118_r2_9_OEI,20121229_121118_r2_7_WGH,NA,20121216_115119_r2_6_CON,20121214_111102_r2_4_RLE,20121216_115119_r2_4_PCA,20121214_111102_r2_2_YOP,20121216_115119_r2_5_ZDU,20121214_111102_r2_3_KZJ,NA,20130119_215618_r2_3_BJW,20130122_220814_r2_0_OSK,20130501_122413_r2_10_IVN,NA,20130803_214004_r2_12_JIY,NA,NA,20130124_111457_r2_4_INE,NA,NA
20120930_123604_r2_8_MRS,20120930_123604_r2_7_DOJ,20121028_221758_r2_16_KQD,20120930_214101_r1_2_UBO,20121104_221404_r2_10_DVW,20121015_115929_r2_1_ESJ,20121013_125756_r2_3_WEP,NA,20121011_221406_r2_5_TRI,20121024_123709_r2_11_JMD,NA,20121029_115112_r2_3_RUT,NA,20130105_220505_r2_4_UWT,20121229_220951_r2_0_YGY,20130105_220505_r2_5_VGA,20121229_220951_r2_7_QFO,20121229_220951_r2_5_BPJ,NA,20121216_214747_r2_5_WQH,20121216_115233_r2_4_FAW,20121216_214747_r2_3_DFX,20121216_115233_r2_2_OKG,NA,20121216_115233_r2_3_VTZ,NA,20130120_212803_r2_11_KAZ,20130124_111457_r2_3_CWA,20130504_223435_r2_4_RRH,NA,20130804_125253_r2_7_UEC,NA,NA,20130126_115609_r2_4_RRQ,NA,NA
20120930_214216_r1_24_VPS,20120930_214216_r1_23_MYP,20121030_220705_r1_10_UKX,20120930_223340_r2_1_INP,20121110_124018_r2_3_MNF,20121015_215649_r2_1_APZ,20121013_225526_r2_2_JXY,NA,20121012_114657_r2_13_XFY,20121025_120755_r2_11_UIS,NA,20121030_130208_r2_1_NUG,NA,20130106_213629_r2_4_OZG,20130105_220505_r2_3_VPD,20130106_213629_r2_5_UUQ,20130105_220505_r2_10_YAS,20130105_220505_r2_8_EGJ,NA,20121222_121641_r2_5_MUB,20121216_214632_r2_4_GWY,20121222_121641_r2_3_EEI,20121216_214632_r2_2_QDD,NA,20121216_214632_r2_3_RQX,NA,20130126_115455_r2_9_MMR,20130126_115609_r2_3_AHI,20130505_120750_r2_4_DDM,NA,20130804_211135_r2_9_WNW,NA,NA,20130126_215126_r2_4_IUE,NA,NA
20121007_205054_r2_22_SKR,20121007_205054_r2_27_MEZ,20121103_215024_r1_12_UOU,20121003_215410_r1_6_VUG,20121111_121107_r2_3_JCV,20121016_221501_r1_1_MZR,20121014_122841_r2_3_HXS,NA,20121014_122841_r2_14_YKD,20121026_113838_r2_8_NOW,NA,20121030_220705_r1_1_OGE,NA,20130113_113326_r2_3_WZD,20130106_213629_r2_3_HFC,20130113_113326_r2_4_QHA,20130106_213629_r2_9_ZFA,20130106_213629_r2_7_IZD,NA,20121222_221357_r2_2_PTT,20121222_221123_r2_5_HXH,20121222_221357_r2_0_SJR,20121222_221123_r2_3_HVI,NA,20121222_221123_r2_4_NZS,NA,20130126_215241_r2_8_WHK,20130126_215126_r2_3_AFX,20130505_220535_r2_3_SVU,NA,20130805_122332_r2_8_TUM,NA,NA,20130127_112718_r2_4_RBS,NA,NA
20121009_113321_r2_3_UZK,20121009_113321_r2_5_TUE,20121104_121517_r2_2_HYI,20121003_224722_r2_5_GIY,20121111_220944_r2_12_VOW,20121017_124120_r2_5_JXR,20121014_222621_r2_3_HXT,NA,20121014_222621_r2_11_OXX,20121027_124940_r2_8_HLL,NA,20121031_123259_r2_1_YST,NA,20130119_215733_r2_1_HRV,20130113_113326_r2_2_GQC,20130119_215733_r2_2_RCI,20130113_113326_r2_8_NOV,20130113_113326_r2_6_BCU,NA,20121227_113036_r2_5_BYH,20121224_111902_r2_6_UEJ,20121227_113036_r2_3_CNB,20121224_111902_r2_4_HQN,NA,20121224_111902_r2_5_MHE,NA,20130202_115047_r2_9_RGJ,20130127_112718_r2_3_UCQ,20130508_122002_r2_3_BDJ,NA,20130805_222146_r2_9_BRP,NA,NA,20130202_115202_r2_4_DQR,NA,NA
20121014_122749_r2_3_TKD,20121014_122749_r2_4_LVO,20121104_221404_r2_9_KZJ,20121004_122025_r2_4_VKJ,20121118_120653_r2_2_RBN,20121017_214537_r1_5_HGR,20121015_115929_r2_3_CYD,NA,20121015_115929_r2_11_LDD,20121028_122028_r2_8_NLO,NA,20121031_223020_r2_11_FLD,NA,20130120_212803_r2_8_LTJ,20130119_215733_r2_0_GML,20130120_130948_r2_5_IWY,20130119_215733_r2_6_NIT,20130119_215733_r2_4_OQY,NA,20121229_121233_r2_3_DEP,20121227_113150_r2_3_BAS,20121229_121233_r2_1_GBI,20121227_113150_r2_1_BFK,NA,20121227_113150_r2_2_ESC,NA,20130204_123256_r2_2_YZX,20130202_115202_r2_3_YME,20130511_223046_r2_0_HDJ,NA,20130806_115430_r2_3_PRR,NA,NA,20130210_111858_r2_6_DUE,NA,NA
20121014_204649_r2_4_ZOV,20121014_204649_r2_5_GND,20121110_124018_r2_2_TKP,20121004_212457_r1_2_KHT,20121125_220204_r2_1_ZLN,20121018_121207_r2_10_WJH,20121015_215649_r2_3_BUQ,NA,20121015_215649_r2_7_TMJ,20121028_221758_r2_8_ODV,NA,20121102_221935_r1_11_TSY,NA,20130126_115455_r2_6_VIQ,20130120_130948_r2_0_MEN,20130120_212803_r2_5_HPD,20130120_130948_r2_4_HRJ,20130120_130948_r2_2_HXW,NA,20130105_220505_r2_14_UVX,20121230_213820_r2_3_RZJ,20130105_220505_r2_13_EIF,20121230_213820_r2_1_WGC,NA,20121230_213820_r2_2_VYP,NA,20130209_214433_r2_10_NKE,20130210_111858_r2_5_DBU,20130512_120402_r2_0_JTC,NA,20130806_215232_r2_8_THI,NA,NA,20130216_114403_r2_5_WIK,NA,NA
20121021_122339_r2_0_FJN,20121021_122339_r2_1_CGS,20121111_121107_r2_2_RKO,20121004_221755_r2_12_UIM,20121202_115829_r2_2_VOM,20121019_222755_r1_3_YWJ,20121016_221501_r1_2_FLT,NA,20121016_113021_r2_1_IFJ,20121029_115112_r2_9_BKK,NA,20121103_215024_r1_10_FMO,NA,20130126_215241_r2_5_GCO,20130120_212803_r2_0_HAP,20130126_115455_r2_5_CGX,20130120_212803_r2_4_FBX,20130120_212803_r2_2_FOT,NA,20130106_113858_r2_5_QAE,20121231_111450_r2_3_WYP,20130106_113858_r2_4_RKL,20121231_111450_r2_1_DBT,NA,20121231_111450_r2_2_KNE,NA,20130210_125753_r2_3_EYM,20130216_114403_r2_4_DGH,20130512_220124_r2_0_NXY,NA,20130807_130523_r2_0_VDG,NA,NA,20130216_213818_r2_5_IUA,NA,NA
20121021_212910_r1_9_LBW,20121021_212910_r1_10_CBI,20121111_220944_r2_11_RLE,20121005_115106_r2_9_LYZ,20121202_215654_r2_9_TBE,NA,20121017_124120_r2_13_IDH,NA,20121017_124120_r2_6_BYU,20121030_220705_r1_6_KNG,NA,20121104_121517_r2_0_WCS,NA,20130127_130546_r2_5_GQT,20130126_115455_r2_0_SQP,20130127_130546_r2_6_YJH,20130126_115455_r2_4_OBH,20130126_115455_r2_2_MTN,NA,20130106_213514_r2_4_XID,20130105_220308_r2_11_WIH,20130106_213514_r2_3_DXH,20130105_220308_r2_9_SXZ,NA,20130105_220308_r2_10_RAG,NA,20130216_114249_r2_3_XGS,20130216_213818_r2_4_WZM,20130515_121555_r2_0_UDN,NA,20130807_212323_r2_1_GNW,NA,NA,20130217_111503_r2_5_KRX,NA,NA
20121028_203803_r2_0_EWE,20121028_203803_r2_1_BQS,20121118_120653_r2_1_URW,20121006_220654_r1_3_RPK,20121208_222213_r2_10_KHU,NA,NA,NA,NA,20121031_123259_r2_5_DMM,NA,20121104_221404_r2_7_WYB,NA,20130202_115047_r2_5_PNQ,20130126_215241_r2_0_SOU,20130202_115047_r2_6_NQR,20130126_215241_r2_4_XOM,20130126_215241_r2_2_TSX,NA,20130113_113437_r2_2_PPO,20130106_114013_r2_3_OTY,20130113_113437_r2_1_YXZ,20130106_114013_r2_1_XFR,NA,20130106_114013_r2_2_VMT,NA,20130216_214040_r2_1_BLY,20130217_111503_r2_4_UEI,20130518_222627_r2_0_UAZ,NA,20130808_123612_r2_0_XGN,NA,NA,20130224_111038_r2_8_QAZ,NA,NA
20121103_215024_r1_19_OTK,20121103_215024_r1_20_TXX,20121202_115829_r2_14_UNN,20121007_123255_r2_3_JFH,20121209_215312_r2_4_ROC,NA,NA,NA,NA,20121031_213655_r1_4_GTJ,NA,20121105_114705_r2_7_YUU,NA,20130204_123212_r2_4_MOG,20130127_130546_r2_0_UGG,20130204_123212_r2_5_NCR,20130127_130546_r2_4_BKB,20130127_130546_r2_2_WRQ,NA,20130119_215618_r2_7_WPT,20130106_213356_r2_3_BYF,20130119_215618_r2_6_VIN,20130106_213356_r2_1_WMS,NA,20130106_213356_r2_2_CRR,NA,20130217_125349_r2_0_QTR,20130224_111038_r2_7_YXA,20130519_115955_r2_0_OVY,NA,20130808_205438_r2_0_DUD,NA,NA,20130302_113540_r2_5_MYT,NA,NA
20121104_121517_r2_9_BGE,20121104_121517_r2_10_MKA,NA,20121007_223026_r2_3_MDT,20121215_221835_r2_2_TGC,NA,NA,NA,NA,20121031_223020_r2_3_HBI,NA,20121110_124018_r2_0_MZN,NA,20130205_120309_r2_5_GXA,20130202_115047_r2_0_ZKK,20130205_120309_r2_6_AAJ,20130202_115047_r2_4_VIY,20130202_115047_r2_2_FLO,NA,20130120_212803_r2_13_CON,20130107_111108_r2_3_JNZ,20130120_212803_r2_12_HEH,20130107_111108_r2_1_DYQ,NA,20130107_111108_r2_2_HFI,NA,20130224_124931_r2_3_STH,20130302_113540_r2_4_ICM,20130519_215651_r2_0_TYL,NA,20130809_120657_r2_1_XKK,NA,NA,20130302_212956_r2_2_ONF,NA,NA
20121110_124018_r2_11_EMQ,20121110_124018_r2_12_GDL,NA,NA,20121216_115007_r2_2_XVK,NA,NA,NA,NA,20121102_113453_r2_2_HFH,NA,20121111_121107_r2_0_KXA,NA,20130209_214433_r2_7_JTT,20130204_123212_r2_0_IRL,20130216_214040_r2_12_UGU,20130204_123212_r2_3_AMP,20130204_123212_r2_2_TGD,NA,20130126_115455_r2_11_RAE,20130113_113551_r2_3_UXR,20130126_115455_r2_10_AMZ,20130113_113551_r2_1_RWJ,NA,20130113_113551_r2_2_WNC,NA,20130309_212717_r2_2_XBN,20130302_212956_r2_1_TDF,20130522_121144_r2_0_UDP,NA,20130809_220508_r2_6_SHE,NA,NA,20130303_110646_r2_2_YAZ,NA,NA
20121111_121107_r2_11_KGS,20121111_121107_r2_12_DAZ,NA,NA,20121216_214909_r2_2_SKQ,NA,NA,NA,NA,20121102_221935_r1_2_WBX,NA,20121111_220944_r2_9_KYB,NA,20130216_214040_r2_9_YNV,20130205_120309_r2_1_EAN,20130217_125235_r2_13_DVD,20130205_120309_r2_4_YST,20130205_120309_r2_3_URO,NA,20130126_215241_r2_10_MTB,20130114_110652_r2_4_HYD,20130126_215241_r2_9_VTS,20130114_110652_r2_2_CJX,NA,20130114_110652_r2_3_QXW,NA,20130310_124043_r2_10_ZQO,20130303_110646_r2_1_LVK,20130526_115531_r2_5_PHC,NA,20130810_113814_r2_6_HBA,NA,NA,20130309_113134_r2_2_RRO,NA,NA
20121118_120653_r2_10_OWK,20121118_120653_r2_11_ORD,NA,NA,20121222_221357_r2_8_BRG,NA,NA,NA,NA,20121103_215024_r1_5_TLC,NA,20121117_123713_r2_7_KTC,NA,20130217_125235_r2_10_HZB,20130209_214433_r2_3_UON,20130309_212832_r2_8_GEN,20130209_214433_r2_6_ANW,20130209_214433_r2_5_MQH,NA,20130202_115047_r2_11_TNM,20130119_120030_r2_2_PAW,20130202_115047_r2_10_OWL,20130119_120030_r2_0_DON,NA,20130119_120030_r2_1_SJG,NA,20130310_223843_r2_1_XDO,20130309_113134_r2_1_HXG,20130526_215155_r2_5_DXY,NA,20130810_213554_r2_6_EBW,NA,NA,20130310_110239_r2_9_CJR,NA,NA
20121125_220204_r2_8_XBW,20121125_220204_r2_9_FJO,NA,NA,20121229_121118_r2_8_PVT,NA,NA,NA,NA,20121104_121632_r2_4_ZNA,NA,20121117_223514_r2_1_MNL,NA,20130309_212832_r2_7_WSR,20130216_214040_r2_4_KGN,20130310_124043_r2_7_KLQ,20130216_214040_r2_8_TUN,20130216_214040_r2_7_VAU,NA,20130204_123256_r2_4_YTD,20130120_113156_r2_2_MYN,20130204_123256_r2_3_SIZ,20130120_113156_r2_0_UDO,NA,20130120_113156_r2_1_MZG,NA,20130312_214029_r2_1_NYW,20130310_110239_r2_8_XXW,20130529_120738_r2_7_RYR,NA,20130811_124819_r2_0_YMJ,NA,NA,20130316_112720_r2_3_XUR,NA,NA
